,City,Price,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
338,Toronto,749000,1,1,Ontario,5647656,43.7417,-79.3733,97000
339,Toronto,1275000,2,2,Ontario,5647656,43.7417,-79.3733,97000
340,Toronto,8688000,6,7,Ontario,5647656,43.7417,-79.3733,97000
341,Toronto,619000,1,1,Ontario,5647656,43.7417,-79.3733,97000
342,Toronto,524999,3,1,Ontario,5647656,43.7417,-79.3733,97000
343,Toronto,599999,2,1,Ontario,5647656,43.7417,-79.3733,97000
344,Toronto,1595900,2,3,Ontario,5647656,43.7417,-79.3733,97000
345,Toronto,1975000,3,2,Ontario,5647656,43.7417,-79.3733,97000
346,Toronto,1399000,3,2,Ontario,5647656,43.7417,-79.3733,97000
347,Toronto,1099000,4,2,Ontario,5647656,43.7417,-79.3733,97000
348,Toronto,559900,1,1,Ontario,5647656,43.7417,-79.3733,97000
349,Toronto,845000,2,2,Ontario,5647656,43.7417,-79.3733,97000
350,Toronto,2698000,4,4,Ontario,5647656,43.7417,-79.3733,97000
351,Toronto,2998000,4,5,Ontario,5647656,43.7417,-79.3733,97000
352,Toronto,749900,2,2,Ontario,5647656,43.7417,-79.3733,97000
353,Toronto,725000,3,2,Ontario,5647656,43.7417,-79.3733,97000
354,Toronto,1199900,4,3,Ontario,5647656,43.7417,-79.3733,97000
355,Toronto,839999,2,1,Ontario,5647656,43.7417,-79.3733,97000
356,Toronto,999900,4,3,Ontario,5647656,43.7417,-79.3733,97000
357,Toronto,929000,4,2,Ontario,5647656,43.7417,-79.3733,97000
358,Toronto,1480000,5,5,Ontario,5647656,43.7417,-79.3733,97000
359,Toronto,1129000,4,2,Ontario,5647656,43.7417,-79.3733,97000
360,Toronto,942000,1,1,Ontario,5647656,43.7417,-79.3733,97000
361,Toronto,925000,3,1,Ontario,5647656,43.7417,-79.3733,97000
362,Toronto,769900,2,2,Ontario,5647656,43.7417,-79.3733,97000
363,Toronto,1079000,3,2,Ontario,5647656,43.7417,-79.3733,97000
364,Toronto,1699000,4,3,Ontario,5647656,43.7417,-79.3733,97000
365,Toronto,695000,2,1,Ontario,5647656,43.7417,-79.3733,97000
366,Toronto,649000,1,1,Ontario,5647656,43.7417,-79.3733,97000
